"User_hour_ID","User_daily_ID","Hour","MoodEA","MoodTA","Health","Location","Activity","rec_no","id","device_id"
"abc_2016_7_19_12","abc_2016_7_19","12","2","2","Good","Office (University)","Offical Task","6","474","1129a092786099b3"
"abc_2016_7_19_13","abc_2016_7_19","13","0","0","Good","Office (University)","Offical Task","7","475","1129a092786099b3"
"_2016_7_19_17","_2016_7_19","17","0","0","Good","Office (University)","Offical Task","8","476","1129a092786099b3"
"_2016_7_19_19","_2016_7_19","19","0","0","Good","Office (University)","Offical Task","9","477","1129a092786099b3"
"_2016_7_20_11","_2016_7_20","11","0","0","Good","Home","Offical Task","11","478","1129a092786099b3"
"abc_2016_7_20_11","abc_2016_7_20","11","0","0","Good","Home","Offical Task","10","479","1129a092786099b3"
"abc_2016_7_20_13","abc_2016_7_20","13","3","1","Good","Office (University)","Offical Task","12","480","1129a092786099b3"
"abc_2016_7_20_14","abc_2016_7_20","14","2","1","Good","Office (University)","Offical Task","13","481","1129a092786099b3"
"hoangdd_2016_7_20_21","hoangdd_2016_7_20","21","0","0","Good","Home","Offical Task","22","482","5d4b166b16abef5f"
"abc_2016_7_20_16","abc_2016_7_20","16","1","1","Good","Office (University)","Offical Task","14","483","1129a092786099b3"
"abc_2016_7_20_17","abc_2016_7_20","17","1","1","Good","Office (University)","Offical Task","15","484","1129a092786099b3"
"abc_2016_7_20_18","abc_2016_7_20","18","1","3","Good","Office (University)","Offical Task","16","485","1129a092786099b3"
"abc_2016_7_20_19","abc_2016_7_20","19","3","2","Good","Office (University)","Offical Task","17","486","1129a092786099b3"
"abc_2016_7_21_1","abc_2016_7_21","1","0","0","Good","Home","Offical Task","20","487","1129a092786099b3"
"nguyenvietthanh_2016_7_21_15","nguyenvietthanh_2016_7_21","15","1","2","Normal","Home","Social activity","1","488","2c475652d051ba8c"
"nguyenvietthanh_2016_7_22_0","nguyenvietthanh_2016_7_22","0","2","0","Good","Home","Relaxing activities","2","489","2c475652d051ba8c"
"nguyenvietthanh_2016_7_22_10","nguyenvietthanh_2016_7_22","10","1","2","Normal","Home","Individual Task","3","490","2c475652d051ba8c"
"nguyenvietthanh_2016_7_22_15","nguyenvietthanh_2016_7_22","15","1","2","Good","Office (University)","Offical Task","4","491","2c475652d051ba8c"
"trinhthikhanhquynh_2016_7_22_16","trinhthikhanhquynh_2016_7_22","16","1","1","Normal","Home","Individual Task","1","492","d4d4f36a74a6edb4"
"hoangdd_2016_7_20_16","hoangdd_2016_7_20","16","3","3","Good","Home","Offical Task","21","493","5d4b166b16abef5f"
"trinhthikhanhquynh_2016_7_22_17","trinhthikhanhquynh_2016_7_22","17","3","0","Good","Home","Individual Task","2","494","d4d4f36a74a6edb4"
"abc_2016_7_20_22","abc_2016_7_20","22","0","0","Good","Home","Offical Task","18","495","1129a092786099b3"
